what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327688796283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688796351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688799645
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688807202
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688840689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688845073
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688849360
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688857593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688861705
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688879105
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688880531
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688884520
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327688889087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689086578
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689106482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689111407
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1327689120627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327689141045
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1327689146111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689151278
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1327689160174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689160254
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689167213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689174280
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689192058
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689197954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689202489
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689206977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689209821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689273927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689280753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689285259
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689299912
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689302305
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689321406
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689323552
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1327689330535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1327689374892
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1327767585900
