what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1328918551792
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1328918551802
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1328918551819
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1328918551828
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1328918551852
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1328918551868
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328918551883
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1328918551883
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1328918551904
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1328918551918
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328918551928
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1328918551938
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1328918551949
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1328918551956
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328918551967
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1328918551976
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328918551981
started,bundle,org.eclipse.egit.core,0.9.3,"org.eclipse.egit.core",1328918551994
started,bundle,org.eclipse.egit.ui,0.9.3,"org.eclipse.egit.ui",1328918552014
started,bundle,org.eclipse.jgit,0.9.3,"org.eclipse.jgit",1328918552014
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1328918552023
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1328918552030
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1328918552036
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1328918552067
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1328918552067
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1328918552073
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1328918552087
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1328918552092
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1328918552109
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1328918552120
started,bundle,com.jformdesigner,5.0.2,"com.jformdesigner",1328918552161
started,bundle,com.google.gdt.eclipse.designer,2.4.2.r36x201110181239,"com.google.gdt.eclipse.designer",1328918552184
started,bundle,com.google.gdt.eclipse.designer.GXT,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.GXT",1328918552194
started,bundle,com.google.gdt.eclipse.designer.SmartGWT,2.4.2.r36x201110181249,"com.google.gdt.eclipse.designer.SmartGWT",1328918552199
started,bundle,com.google.gdt.eclipse.designer.UiBinder,2.4.2.r36x201110181239,"com.google.gdt.eclipse.designer.UiBinder",1328918552202
started,bundle,com.google.gdt.eclipse.designer.hosted,2.4.2.r36x201110181233,"com.google.gdt.eclipse.designer.hosted",1328918552207
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1328918552224
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1328918552242
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1328918552253
started,bundle,org.eclipse.wb.core,1.2.0.r36x201109270310,"org.eclipse.wb.core",1328918552298
started,bundle,org.eclipse.wb.core.lib,1.2.0.r36x201109270310,"org.eclipse.wb.core.lib",1328918552327
started,bundle,org.eclipse.wb.discovery.core,1.2.0.r36x201109270333,"org.eclipse.wb.discovery.core",1328918552327
os,sysinfo,,,"macosx",1328918552330
arch,sysinfo,,,"x86_64",1328918552330
ws,sysinfo,,,"cocoa",1328918552330
locale,sysinfo,,,"en_US",1328918552330
processors,sysinfo,,,"2",1328918552330
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328918552331
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-10M3527",1328918552331
java.specification.name,sysinfo,,,"Java Platform API Specification",1328918552331
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328918552331
java.specification.version,sysinfo,,,"1.6",1328918552331
java.vendor,sysinfo,,,"Apple Inc.",1328918552331
java.version,sysinfo,,,"1.6.0_29",1328918552331
java.vm.info,sysinfo,,,"mixed mode",1328918552331
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1328918552331
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328918552331
